ep,sentiment_score,label,sadness,joy,fear,disgust,anger
S01E01,0.453137,positive,0.090024,0.568044,0.051379,0.059812,0.051009
S01E02,0.465924,positive,0.540917,0.522407,0.102927,0.057657,0.092651
S01E03,0.448937,positive,0.586553,0.55936,0.088731,0.058687,0.094957
S01E04,0.439483,positive,0.56415,0.570765,0.076463,0.073772,0.116297
S01E05,0.496663,positive,0.473817,0.622371,0.086921,0.049836,0.071702
S01E06,0.326567,positive,0.596061,0.601037,0.08796,0.069316,0.10679
S01E07,0.45854,positive,0.508532,0.564143,0.100876,0.074645,0.089526
S01E08,0.384351,positive,0.598749,0.594325,0.099132,0.074979,0.071274
S01E09,0.329197,positive,0.551239,0.574624,0.102655,0.096123,0.123162
S01E10,0.311814,positive,0.137584,0.525263,0.116109,0.078401,0.09863
S02E01,0.42833,positive,0.141915,0.653575,0.088771,0.060336,0.078631
S02E02,0.389978,positive,0.142586,0.59637,0.076998,0.061581,0.07078
S02E03,0.41129,positive,0.08979,0.604864,0.060643,0.068439,0.10571
S02E05,0.396264,positive,0.136494,0.586045,0.086614,0.060154,0.122232
S02E06,0.447268,positive,0.174453,0.583909,0.103934,0.085835,0.095482
S02E07,0.372817,positive,0.495398,0.594804,0.079539,0.551175,0.087703
S02E08,0.340189,positive,0.602381,0.561311,0.112429,0.084454,0.115153
S02E10,0.273243,positive,0.538253,0.542163,0.097108,0.124802,0.120127
S02E11,0.427881,positive,0.133089,0.618034,0.083405,0.05127,0.571829
S02E12,0.418702,positive,0.142151,0.525087,0.652899,0.074984,0.091337
